build,alg,op,run,us
generic,ML-KEM-512,keygen,1,12.329
generic,ML-KEM-512,keygen,2,11.979
generic,ML-KEM-512,keygen,3,11.982
generic,ML-KEM-512,keygen,4,31.724
generic,ML-KEM-512,keygen,5,11.968
generic,ML-KEM-512,encaps,1,13.071
generic,ML-KEM-512,encaps,2,12.653
generic,ML-KEM-512,encaps,3,12.654
generic,ML-KEM-512,encaps,4,14.010
generic,ML-KEM-512,encaps,5,12.742
generic,ML-KEM-512,decaps,1,15.520
generic,ML-KEM-512,decaps,2,15.115
generic,ML-KEM-512,decaps,3,15.106
generic,ML-KEM-512,decaps,4,15.700
generic,ML-KEM-512,decaps,5,15.207
generic,ML-KEM-768,keygen,1,21.491
generic,ML-KEM-768,keygen,2,20.513
generic,ML-KEM-768,keygen,3,20.479
generic,ML-KEM-768,keygen,4,21.100
generic,ML-KEM-768,keygen,5,20.539
generic,ML-KEM-768,encaps,1,20.993
generic,ML-KEM-768,encaps,2,19.701
generic,ML-KEM-768,encaps,3,19.822
generic,ML-KEM-768,encaps,4,19.941
generic,ML-KEM-768,encaps,5,19.805
generic,ML-KEM-768,decaps,1,23.641
generic,ML-KEM-768,decaps,2,23.160
generic,ML-KEM-768,decaps,3,23.161
generic,ML-KEM-768,decaps,4,23.362
generic,ML-KEM-768,decaps,5,23.236
generic,ML-KEM-1024,keygen,1,31.360
generic,ML-KEM-1024,keygen,2,31.332
generic,ML-KEM-1024,keygen,3,31.116
generic,ML-KEM-1024,keygen,4,31.283
generic,ML-KEM-1024,keygen,5,31.167
generic,ML-KEM-1024,encaps,1,29.586
generic,ML-KEM-1024,encaps,2,29.127
generic,ML-KEM-1024,encaps,3,29.199
generic,ML-KEM-1024,encaps,4,29.282
generic,ML-KEM-1024,encaps,5,29.300
generic,ML-KEM-1024,decaps,1,34.535
generic,ML-KEM-1024,decaps,2,34.077
generic,ML-KEM-1024,decaps,3,34.164
generic,ML-KEM-1024,decaps,4,34.258
generic,ML-KEM-1024,decaps,5,34.246
generic,ML-DSA-44,keypair,1,42.205
generic,ML-DSA-44,keypair,2,41.879
generic,ML-DSA-44,keypair,3,41.811
generic,ML-DSA-44,keypair,4,41.679
generic,ML-DSA-44,keypair,5,41.768
generic,ML-DSA-44,sign,1,160.766
generic,ML-DSA-44,sign,2,160.659
generic,ML-DSA-44,sign,3,161.587
generic,ML-DSA-44,sign,4,161.300
generic,ML-DSA-44,sign,5,160.377
generic,ML-DSA-44,verify,1,46.506
generic,ML-DSA-44,verify,2,53.251
generic,ML-DSA-44,verify,3,45.928
generic,ML-DSA-44,verify,4,46.011
generic,ML-DSA-44,verify,5,46.076
generic,ML-DSA-65,keypair,1,78.318
generic,ML-DSA-65,keypair,2,77.763
generic,ML-DSA-65,keypair,3,77.734
generic,ML-DSA-65,keypair,4,77.818
generic,ML-DSA-65,keypair,5,77.583
generic,ML-DSA-65,sign,1,254.762
generic,ML-DSA-65,sign,2,253.482
generic,ML-DSA-65,sign,3,255.137
generic,ML-DSA-65,sign,4,253.982
generic,ML-DSA-65,sign,5,253.533
generic,ML-DSA-65,verify,1,74.222
generic,ML-DSA-65,verify,2,73.845
generic,ML-DSA-65,verify,3,73.980
generic,ML-DSA-65,verify,4,74.095
generic,ML-DSA-65,verify,5,74.876
generic,ML-DSA-87,keypair,1,118.358
generic,ML-DSA-87,keypair,2,117.892
generic,ML-DSA-87,keypair,3,116.521
