ts_s,policy0_khz,policy3_khz,policy7_khz,x3_active,x3_paused
1784827893.134552704,2016000,2803200,864000,1,0
1784827893.292722392,1017600,2803200,864000,0,1
1784827893.452221089,2016000,2803200,864000,0,0
1784827893.611980881,1017600,2803200,864000,1,0
1784827893.778597339,1017600,2188800,864000,1,0
1784827893.941820881,1017600,2803200,864000,0,1
1784827894.105685360,1017600,1785600,864000,0,1
1784827894.270049318,1017600,2803200,864000,0,1
1784827894.432319891,2016000,2592000,864000,0,1
1784827894.585237964,2016000,2188800,864000,0,1
1784827894.752318068,2016000,2592000,864000,0,1
1784827894.914067235,2016000,2803200,864000,0,1
1784827895.074870672,2016000,2323200,864000,0,1
1784827895.243653328,1017600,2803200,864000,0,1
1784827895.409354787,1017600,2188800,864000,0,1
1784827895.577369891,1017600,2323200,864000,0,1
1784827895.742629474,1017600,2803200,864000,0,1
1784827895.901785203,1017600,2803200,864000,0,1
1784827896.065342026,1017600,2188800,864000,0,1
1784827896.229937859,1017600,2803200,864000,0,1
1784827896.392837807,1017600,1286400,864000,0,1
1784827896.563249109,1017600,2803200,864000,0,1
1784827896.723361453,1017600,2803200,864000,0,1
1784827896.888286869,1017600,2457600,864000,0,1
1784827897.044584005,1017600,2803200,864000,0,1
1784827897.209251765,1017600,2188800,864000,0,1
1784827897.375238588,1017600,2803200,864000,0,1
1784827897.533941400,1017600,2803200,864000,0,1
1784827897.696772442,1017600,2803200,864000,0,1
1784827897.858404161,1017600,2457600,864000,0,1
1784827898.022359786,1017600,2803200,864000,0,1
1784827898.180231452,1017600,2323200,3360000,1,0
1784827898.335271660,1017600,2707200,3360000,1,0
1784827898.486130515,1017600,2803200,3360000,1,0
1784827898.635917858,1017600,2803200,3360000,1,0
1784827898.785994942,1017600,1785600,3360000,1,0
1784827898.937602285,1017600,1785600,3360000,1,0
1784827899.091093118,1017600,2803200,3360000,1,0
1784827899.241712389,1017600,2803200,3360000,1,0
1784827899.392666504,1017600,2054400,3360000,1,0
1784827899.544783118,1017600,2803200,3360000,1,0
1784827899.697509420,1017600,2803200,3360000,1,0
1784827899.851391243,1017600,2803200,3360000,1,0
1784827900.005515670,1017600,2803200,3360000,1,0
1784827900.156200983,1017600,2803200,3360000,1,0
1784827900.306224628,1017600,2803200,3360000,1,0
1784827900.456467493,1017600,2803200,3360000,1,0
1784827900.607260149,1017600,2707200,3360000,1,0
1784827900.757560670,1017600,2803200,3360000,1,0
1784827900.906934055,1017600,2803200,3360000,1,0
1784827901.058661607,1017600,2803200,3360000,1,0
1784827901.214094107,1017600,2803200,3360000,1,0
1784827901.364167128,1017600,2803200,3360000,1,0
1784827901.516115357,1017600,2457600,3360000,1,0
1784827901.669677336,1017600,2803200,3360000,1,0
1784827901.819824159,1017600,2803200,3360000,1,0
1784827901.972266503,1017600,2803200,3360000,1,0
1784827902.123231503,1017600,2323200,3360000,1,0
1784827902.274572128,1017600,2803200,3360000,1,0
1784827902.426628273,1017600,2054400,3360000,1,0
1784827902.578170513,1017600,2803200,3360000,1,0
1784827902.728436034,1017600,2188800,3360000,1,0
1784827902.880565305,1017600,2803200,3360000,1,0
1784827903.032018117,1017600,2803200,3360000,1,0
1784827903.182761190,1017600,2803200,3360000,1,0
