host=cloudflare.com pairs=15 A=X25519 B=X25519 network=wifi-nullcontrol started=2026-07-23T13:19:56Z
pair,group,wallclock_ms,read_bytes,written_bytes,negotiated
1,X25519,105,2868,325,NA
1,X25519,83,2868,325,NA
2,X25519,83,2869,325,NA
2,X25519,101,2870,325,NA
3,X25519,93,2870,325,NA
3,X25519,90,2870,325,NA
4,X25519,108,2869,325,NA
4,X25519,101,2869,325,NA
5,X25519,119,2869,325,NA
5,X25519,84,2869,325,NA
6,X25519,85,2869,325,NA
6,X25519,116,2870,325,NA
7,X25519,82,2868,325,NA
7,X25519,93,2869,325,NA
8,X25519,94,2869,325,NA
8,X25519,95,2870,325,NA
9,X25519,100,2869,325,NA
9,X25519,96,2869,325,NA
10,X25519,100,2870,325,NA
10,X25519,86,2868,325,NA
11,X25519,91,2868,325,NA
11,X25519,93,2870,325,NA
12,X25519,129,2869,325,NA
12,X25519,79,2870,325,NA
13,X25519,84,2869,325,NA
13,X25519,81,2870,325,NA
14,X25519,101,2869,325,NA
14,X25519,110,2868,325,NA
15,X25519,120,2869,325,NA
15,X25519,96,2869,325,NA
