host=cloudflare.com pairs=25 A=X25519MLKEM768 B=X25519 network=cellular started=2026-07-23T13:29:01Z
pair,group,wallclock_ms,read_bytes,written_bytes,negotiated
1,X25519MLKEM768,519352,NA,NA,NA
1,X25519,228,2869,325,NA
2,X25519MLKEM768,135,3957,1503,X25519MLKEM768
2,X25519,134,2869,325,NA
3,X25519MLKEM768,134,3958,1503,X25519MLKEM768
3,X25519,138,2869,325,NA
4,X25519MLKEM768,173,3957,1503,X25519MLKEM768
4,X25519,173,2869,325,NA
5,X25519MLKEM768,165,3956,1503,X25519MLKEM768
5,X25519,148,2868,325,NA
6,X25519MLKEM768,163,3958,1503,X25519MLKEM768
6,X25519,148,2869,325,NA
7,X25519MLKEM768,165,3958,1503,X25519MLKEM768
7,X25519,160,2868,325,NA
8,X25519MLKEM768,141,3957,1503,X25519MLKEM768
8,X25519,154,2869,325,NA
9,X25519MLKEM768,147,3957,1503,X25519MLKEM768
9,X25519,182,2870,325,NA
10,X25519MLKEM768,143,3957,1503,X25519MLKEM768
10,X25519,151,2868,325,NA
11,X25519MLKEM768,151,3956,1503,X25519MLKEM768
11,X25519,150,2869,325,NA
12,X25519MLKEM768,182,3956,1503,X25519MLKEM768
12,X25519,140,2868,325,NA
13,X25519MLKEM768,159,3957,1503,X25519MLKEM768
13,X25519,158,2869,325,NA
14,X25519MLKEM768,174,3957,1503,X25519MLKEM768
14,X25519,164,2870,325,NA
15,X25519MLKEM768,190,3956,1503,X25519MLKEM768
15,X25519,186,2869,325,NA
16,X25519MLKEM768,165,3955,1503,X25519MLKEM768
16,X25519,147,2870,325,NA
17,X25519MLKEM768,204,3957,1503,X25519MLKEM768
17,X25519,165,2869,325,NA
18,X25519MLKEM768,181,3956,1503,X25519MLKEM768
18,X25519,185,2869,325,NA
19,X25519MLKEM768,170,3956,1503,X25519MLKEM768
19,X25519,181,2869,325,NA
20,X25519MLKEM768,173,3956,1503,X25519MLKEM768
20,X25519,283,2868,325,NA
21,X25519MLKEM768,137,3957,1503,X25519MLKEM768
21,X25519,309,2869,325,NA
22,X25519MLKEM768,187,3957,1503,X25519MLKEM768
22,X25519,146,2870,325,NA
23,X25519MLKEM768,179,3957,1503,X25519MLKEM768
23,X25519,143,2868,325,NA
24,X25519MLKEM768,153,3957,1503,X25519MLKEM768
24,X25519,208,2870,325,NA
25,X25519MLKEM768,176,3956,1503,X25519MLKEM768
25,X25519,196,2868,325,NA
