host=cloudflare.com pairs=25 A=X25519MLKEM768 B=X25519 network=wifi started=2026-07-23T13:16:01Z
pair,group,wallclock_ms,read_bytes,written_bytes,negotiated
1,X25519MLKEM768,86,3957,1503,X25519MLKEM768
1,X25519,96,2869,325,NA
2,X25519MLKEM768,84,3956,1503,X25519MLKEM768
2,X25519,89,2870,325,NA
3,X25519MLKEM768,95,3956,1503,X25519MLKEM768
3,X25519,109,2868,325,NA
4,X25519MLKEM768,113,3957,1503,X25519MLKEM768
4,X25519,96,2869,325,NA
5,X25519MLKEM768,95,3956,1503,X25519MLKEM768
5,X25519,101,2869,325,NA
6,X25519MLKEM768,121,3957,1503,X25519MLKEM768
6,X25519,96,2870,325,NA
7,X25519MLKEM768,108,3957,1503,X25519MLKEM768
7,X25519,107,2870,325,NA
8,X25519MLKEM768,92,3956,1503,X25519MLKEM768
8,X25519,90,2870,325,NA
9,X25519MLKEM768,126,3958,1503,X25519MLKEM768
9,X25519,109,2869,325,NA
10,X25519MLKEM768,88,3958,1503,X25519MLKEM768
10,X25519,124,2868,325,NA
11,X25519MLKEM768,95,3956,1503,X25519MLKEM768
11,X25519,89,2869,325,NA
12,X25519MLKEM768,96,3957,1503,X25519MLKEM768
12,X25519,86,2868,325,NA
13,X25519MLKEM768,92,3958,1503,X25519MLKEM768
13,X25519,91,2869,325,NA
14,X25519MLKEM768,85,3957,1503,X25519MLKEM768
14,X25519,83,2869,325,NA
15,X25519MLKEM768,93,3958,1503,X25519MLKEM768
15,X25519,77,2868,325,NA
16,X25519MLKEM768,90,3956,1503,X25519MLKEM768
16,X25519,102,2870,325,NA
17,X25519MLKEM768,101,3957,1503,X25519MLKEM768
17,X25519,157,2870,325,NA
18,X25519MLKEM768,88,3958,1503,X25519MLKEM768
18,X25519,89,2870,325,NA
19,X25519MLKEM768,83,3958,1503,X25519MLKEM768
19,X25519,94,2870,325,NA
20,X25519MLKEM768,89,3956,1503,X25519MLKEM768
20,X25519,100,2870,325,NA
21,X25519MLKEM768,95,3956,1503,X25519MLKEM768
21,X25519,92,2868,325,NA
22,X25519MLKEM768,111,3956,1503,X25519MLKEM768
22,X25519,94,2868,325,NA
23,X25519MLKEM768,95,3957,1503,X25519MLKEM768
23,X25519,110,2869,325,NA
24,X25519MLKEM768,94,3957,1503,X25519MLKEM768
24,X25519,89,2868,325,NA
25,X25519MLKEM768,93,3956,1503,X25519MLKEM768
25,X25519,99,2870,325,NA
